#
#
# US Geological Survey, Water Resources Data
# retrieved: 2017-09-09 15:34:06 EDT      (nadww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://nwis.waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04174500 HURON RIVER AT ANN ARBOR, MI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		71299	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	04174500	00060	71299	2011	12	1406
USGS	04174500	00060	71299	2012	1	945.9
USGS	04174500	00060	71299	2012	2	834.7
USGS	04174500	00060	71299	2012	3	1174
USGS	04174500	00060	71299	2012	4	599.5
USGS	04174500	00060	71299	2012	5	453.5
USGS	04174500	00060	71299	2012	6	169.5
USGS	04174500	00060	71299	2012	7	99.9
USGS	04174500	00060	71299	2012	8	205.6
USGS	04174500	00060	71299	2012	9	118.3
USGS	04174500	00060	71299	2012	10	217.5
USGS	04174500	00060	71299	2012	11	303.7
USGS	04174500	00060	71299	2012	12	335.3
USGS	04174500	00060	71299	2013	1	460.5
USGS	04174500	00060	71299	2013	2	616.4
USGS	04174500	00060	71299	2013	3	635.8
USGS	04174500	00060	71299	2013	4	1132
USGS	04174500	00060	71299	2013	5	601.2
USGS	04174500	00060	71299	2013	6	609.4
USGS	04174500	00060	71299	2013	7	442.6
USGS	04174500	00060	71299	2013	8	365.0
USGS	04174500	00060	71299	2013	9	358.6
USGS	04174500	00060	71299	2013	10	264.3
USGS	04174500	00060	71299	2013	11	437.9
USGS	04174500	00060	71299	2013	12	378.8
USGS	04174500	00060	71299	2014	1	476.3
USGS	04174500	00060	71299	2014	2	385.8
USGS	04174500	00060	71299	2014	3	924.0
USGS	04174500	00060	71299	2014	4	972.3
USGS	04174500	00060	71299	2014	5	1110
USGS	04174500	00060	71299	2014	6	686.3
USGS	04174500	00060	71299	2014	7	425.2
USGS	04174500	00060	71299	2014	8	279.0
USGS	04174500	00060	71299	2014	9	355.3
USGS	04174500	00060	71299	2014	10	340.5
USGS	04174500	00060	71299	2014	11	448.4
USGS	04174500	00060	71299	2014	12	491.7
USGS	04174500	00060	71299	2015	1	388.3
USGS	04174500	00060	71299	2015	2	281.4
USGS	04174500	00060	71299	2015	3	655.4
USGS	04174500	00060	71299	2015	4	493.0
USGS	04174500	00060	71299	2015	5	412.3
USGS	04174500	00060	71299	2015	6	1067
USGS	04174500	00060	71299	2015	7	488.5
USGS	04174500	00060	71299	2015	8	230.5
USGS	04174500	00060	71299	2015	9	162.3
USGS	04174500	00060	71299	2015	10	154.5
USGS	04174500	00060	71299	2015	11	364.7
USGS	04174500	00060	71299	2015	12	392.7
USGS	04174500	00060	71299	2016	1	411.7
USGS	04174500	00060	71299	2016	2	375.6
USGS	04174500	00060	71299	2016	3	773.3
USGS	04174500	00060	71299	2016	4	688.2
USGS	04174500	00060	71299	2016	5	626.6
USGS	04174500	00060	71299	2016	6	212.6
USGS	04174500	00060	71299	2016	7	144.7
USGS	04174500	00060	71299	2016	8	272.4
USGS	04174500	00060	71299	2016	9	202.1
USGS	04174500	00060	71299	2016	10	453.9
USGS	04174500	00060	71299	2016	11	427.6
USGS	04174500	00060	71299	2016	12	469.6

